docker compose -f docker-compose-dev.yaml logs -f
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f5f7f730> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Created channel=1
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Pika version 1.3.1 connecting to ('172.25.125.2', 5672)
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Socket connected: <socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.25.125.9', 36256), raddr=('172.25.125.2', 5672)>
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f5f882b0>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f5f882b0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f5f882b0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f5f882b0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f5f882b0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Created channel=1
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Pika version 1.3.1 connecting to ('172.25.125.2', 5672)
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Socket connected: <socket.socket fd=22, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.25.125.9', 36270), raddr=('172.25.125.2', 5672)>
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f5f88ca0>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f5f88ca0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f5f88ca0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f5f88ca0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f5f88ca0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Created channel=1
accepter                                   | 2023-05-10 22:49:52 INFO     action: config | result: success | port: 12345 | listen_backlog: 5 | logging_level: INFO |trip_parser: 1 | weather_parsers: 1, station_parsers: 1
accepter                                   | 2023-05-10 22:49:52 INFO     Pika version 1.3.1 connecting to ('172.25.125.2', 5672)
accepter                                   | 2023-05-10 22:49:52 INFO     Socket connected: <socket.socket fd=7, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.25.125.12', 50336), raddr=('172.25.125.2', 5672)>
accepter                                   | 2023-05-10 22:49:52 INFO     Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7ff6915649a0>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7ff6915649a0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
